evaluation_split,population,metric,seed42,seed43,seed44,mean,std
Validation,Population A,Rank-1,91.22%,91.34%,90.97%,91.18%,0.19%
Validation,Population A,mAP,64.40%,64.00%,64.76%,64.38%,0.38%
Validation,Population B,Rank-1,61.11%,62.22%,60.00%,61.11%,1.11%
Validation,Population B,mAP,47.63%,47.97%,48.18%,47.93%,0.28%
Held-Out Test,Population A,Rank-1,88.31%,89.65%,90.50%,89.48%,1.11%
Held-Out Test,Population A,Rank-5,93.79%,94.28%,93.91%,93.99%,0.25%
Held-Out Test,Population A,Rank-10,95.25%,95.62%,95.49%,95.45%,0.19%
Held-Out Test,Population A,mAP,64.80%,65.32%,65.87%,65.33%,0.53%
Held-Out Test,Population B,Rank-1,48.46%,51.54%,54.62%,51.54%,3.08%
Held-Out Test,Population B,Rank-5,76.15%,71.54%,78.46%,75.38%,3.53%
Held-Out Test,Population B,Rank-10,83.08%,79.23%,84.62%,82.31%,2.77%
Held-Out Test,Population B,mAP,34.38%,33.06%,36.06%,34.50%,1.51%
